,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,26647000.000,18762000.000,12811000.000,7643000.000,2874000.000,47502000.000,43664000.000,40734000.000,46185000.000,34831000.000,31879000.000,59360000.000,50800000.000,44400000.000,115700000.000,89700000.000,65700000.000,39200000.000,88900000.000,76600000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,89764000.000,84818000.000,83615000.000,82860000.000,81298000.000,79399000.000,93392000.000,90496000.000,88090000.000,88186000.000,87784000.000,86491000.000,100237000.000,100800000.000,100100000.000,182600000.000,176500000.000,174300000.000,162900000.000,178900000.000,169700000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,66400000.000,57214000.000,46634000.000,35405000.000,23775000.000,29365000.000,23256000.000,18153000.000,15573000.000,14623000.000,13668000.000,26395000.000,25600000.000,25600000.000,105200000.000,105200000.000,105800000.000,105800000.000,117900000.000,98800000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,69923000.000,69565000.000,69138000.000,68170000.000,67143000.000,66400000.000,69042000.000,58245000.000,47016000.000,37838000.000,33206000.000,27235000.000,35730000.000,30800000.000,28300000.000,107000000.000,106000000.000,105800000.000,105800000.000,133000000.000,134300000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,74718000.000,73162000.000,71906000.000,70649000.000,69923000.000,69565000.000,80972000.000,79781000.000,78754000.000,80473000.000,72980000.000,62405000.000,64859000.000,53200000.000,46900000.000,120100000.000,115300000.000,111100000.000,108600000.000,134800000.000,135100000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,81346000.000,79399000.000,77648000.000,76049000.000,74718000.000,73162000.000,83739000.000,82261000.000,81534000.000,83638000.000,84909000.000,83941000.000,96597000.000,96600000.000,87100000.000,151100000.000,140500000.000,130700000.000,125700000.000,148000000.000,144500000.000
FiniteLivedIntangibleAssetsGross,,,,404892000.000,,,,639471000.000,378283000.000,357173000.000,336130000.000,592841000.000,,,,722377000.000,,,,824700000.000,,,,1270600000.000,,,
FiniteLivedIntangibleAssetsNet,,,,,,,,,,,,,404012000.000,377703000.000,354281000.000,,328333000.000,305619000.000,383178000.000,,332400000.000,781700000.000,733200000.000,,648000000.000,801500000.000,759000000.000
ForeignCurrencyContractsLiabilityFairValueDisclosure,,,,11675000.000,,,,0.000,,,,,,,,,,,,,,,,,,,
FurnitureAndFixturesGross,,,,5902000.000,,,,,,,,,,,,,,,,,,,,,,,
