,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToNoncontrollingInterest,,,,,,-4000000.000,6000000.000,,-3000000.000,0.000,2000000.000,-1000000.000,0.000,2000000.000,1000000.000,-1000000.000,,-1000000.000,-1000000.000,,1000000.000,2000000.000,-1000000.000,0.000,1000000.000,-1000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,49000000.000,,,,39000000.000,-39000000.000,18000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,,,,,,-1000000.000,1000000.000,,,-1000000.000,1000000.000,,,1000000.000,-2000000.000,,-2000000.000,1000000.000,-2000000.000,0.000,0.000,0.000,0.000,-2000000.000,,2000000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,,,12000000.000,,,,-211000000.000,,,,7000000.000,,,,131000000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,-18000000.000,-12000000.000,15000000.000,-2000000.000,7000000.000,14000000.000,11000000.000,-7000000.000,-2000000.000,-8000000.000,-7000000.000,2000000.000,2000000.000,22000000.000,2000000.000,-3000000.000,21000000.000,-13000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,-20000000.000,-4000000.000,25000000.000,-11000000.000,-4000000.000,-4000000.000,-154000000.000,-161000000.000,-211000000.000,4000000.000,-153000000.000,-109000000.000,9000000.000,-134000000.000,-45000000.000,-265000000.000,110000000.000,99000000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,-20000000.000,14000000.000,54000000.000,51000000.000,18000000.000,27000000.000,-124000000.000,-172000000.000,-202000000.000,8000000.000,-135000000.000,-64000000.000,24000000.000,-102000000.000,-41000000.000,-127000000.000,140000000.000,94000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,,,,-46000000.000,78000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,-200000000.000,,,,23000000.000,,,,139000000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,-18000000.000,-30000000.000,-14000000.000,-64000000.000,-15000000.000,-17000000.000,-19000000.000,4000000.000,-11000000.000,-12000000.000,-25000000.000,-43000000.000,-13000000.000,-10000000.000,-2000000.000,-141000000.000,-9000000.000,-8000000.000
OtherComprehensiveIncomeLossTax,,,,,,,,,-17000000.000,,,,18000000.000,,,,,,,,,,,,,
OtherOperatingIncome,,,,,,,,,,,31000000.000,,24000000.000,,,,,,,,,,,,,
OtherOperatingIncomeExpenseNet,,,,,,,,,,,-36000000.000,,-58000000.000,,,,,,,,,,,,,
OtherRestructuringCosts,,,,,,,,,,,,,8000000.000,9000000.000,,,,,,,4000000.000,0.000,9000000.000,5000000.000,0.000,16000000.000
PaymentsForProceedsFromOtherInvestingActivities,-2000000.000,,,,9000000.000,,,,-3000000.000,,,,-8000000.000,,,,9000000.000,,,,-3000000.000,,,,0.000,
PaymentsForRepurchaseOfCommonStock,6000000.000,,,,7000000.000,,,,6000000.000,,,,2000000.000,,,,4000000.000,,,,4000000.000,,,,133000000.000,
PaymentsOfDebtExtinguishmentCosts,,,,,,,,,23000000.000,,,,,,28000000.000,,,,,,,,,,,
PaymentsOfDebtIssuanceCosts,11000000.000,,,,0.000,,,,15000000.000,,,,0.000,,,,,,,,2000000.000,,,,0.000,
PaymentsOfDividendsMinorityInterest,6000000.000,,,,16000000.000,,,,8000000.000,,,,23000000.000,,,,9000000.000,,,,8000000.000,,,,13000000.000,
PaymentsToAcquireAdditionalInterestInSubsidiaries,,,,,,,,,10000000.000,,,,93000000.000,,,,0.000,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,,,,,,,1206000000.000,,,,0.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,103000000.000,,,,62000000.000,,,,63000000.000,,,,84000000.000,,,,52000000.000,,,,51000000.000,,,,107000000.000,
PensionContributions,18000000.000,,,,18000000.000,,,,20000000.000,,,,22000000.000,,,,17000000.000,,,,25000000.000,,,,13000000.000,
