,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
EmployeeRelatedLiabilitiesCurrent,952000000.000,1001000000.000,1005000000.000,1003000000.000,994000000.000,1019000000.000,1048000000.000,977000000.000,947000000.000,950000000.000,965000000.000,974000000.000,977000000.000,998000000.000,925000000.000,1003000000.000,856000000.000,879000000.000,919000000.000,462000000.000,488000000.000,455000000.000,464000000.000,400000000.000,320000000.000,338000000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,55000000.000,45000000.000,37000000.000,,58000000.000,51000000.000,41000000.000,,53000000.000,50000000.000,35000000.000,38000000.000,55000000.000,46000000.000,36000000.000,62000000.000,54000000.000,44000000.000,32000000.000,26000000.000,38000000.000,31000000.000,24000000.000,41000000.000,30000000.000
EntityWideDisclosureOnGeographicAreasLongLivedAssetsInForeignCountries,,,,,,,,6978000000.000,,,,,,,,,,,,,,,,,,
EnvironmentalCostsRecognizedCapitalized,,,,,,,,,,,,,,,,,,,,,,91000000.000,,,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,,,,1023000000.000,,,,1028000000.000,,,,912000000.000,,,,886000000.000,,,,732000000.000,,,,771000000.000,,
EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,,,,519000000.000,,,,569000000.000,,,,677000000.000,,,,642000000.000,,,,485000000.000,,,,478000000.000,,
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,,,,1868000000.000,,,,1981000000.000,,,,1876000000.000,,,,1694000000.000,,,,988000000.000,,,,989000000.000,,
EquityMethodInvestmentSummarizedFinancialInformationNoncurrentLiabilities,,,,1020000000.000,,,,1220000000.000,,,,852000000.000,,,,722000000.000,,,,490000000.000,,,,506000000.000,,
EquityMethodInvestments,,,,638000000.000,,,,570000000.000,,,,558000000.000,,,,532000000.000,,,,502000000.000,,,,499000000.000,,
ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue,1100000000.000,1100000000.000,1200000000.000,1100000000.000,1100000000.000,1300000000.000,1200000000.000,1000000000.000,1000000000.000,1000000000.000,1100000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,875000000.000,1000000000.000,934000000.000,900000000.000,792000000.000,524000000.000,486000000.000,489000000.000,760000000.000,771000000.000
