,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,,,,70000000.000,
PaymentsOfDebtIssuanceCosts,2000000.000,,,,0.000,,,,,,,,,
PaymentsOfDividends,,,,,,,,,69000000.000,,,,49000000.000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,28000000.000,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,1298000000.000,,,,0.000,,,,,
PaymentsToAcquireIntangibleAssets,16000000.000,,,,11000000.000,,,,9000000.000,,,,13000000.000,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,2000000.000,,,,0.000,,,,,,,,,
PaymentsToAcquireNotesReceivable,1000000.000,,,,2000000.000,,,,9000000.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,43000000.000,,,,88000000.000,,,,84000000.000,,,,9000000.000,
PaymentsToAcquireSoftware,15000000.000,,,,8000000.000,,,,11000000.000,,,,9000000.000,
PaymentsToMinorityShareholders,1000000.000,,,,2000000.000,,,,2000000.000,,,,1000000.000,
PriorPeriodReclassificationAdjustment,,,,,,,,,,,,,7000000.000,
ProceedsFromCollectionOfNotesReceivable,1000000.000,,,,1000000.000,,,,1000000.000,,,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,3000000.000,,,,2000000.000,,,,2000000.000,,,,,
ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0.000,,,,,,,,,,,,1823000000.000,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,0.000,,,,0.000,,,,0.000,
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,-10000000.000,,,,-57000000.000,,,,-34000000.000,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,1869000000.000,,,,0.000,,,,,
ProfitLoss,124000000.000,212000000.000,187000000.000,159000000.000,150000000.000,167000000.000,283000000.000,816000000.000,310000000.000,244000000.000,192000000.000,-382000000.000,75000000.000,167000000.000
ProvisionForLoanLossesExpensed,6000000.000,,,,7000000.000,,,,10000000.000,,,,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,-1000000.000,,,,-2000000.000,,,,-1000000.000,,,,-4000000.000,
ReimbursementRevenue,827000000.000,920000000.000,906000000.000,1038000000.000,950000000.000,1061000000.000,1063000000.000,1056000000.000,1071000000.000,1166000000.000,1105000000.000,1104000000.000,1395000000.000,1436000000.000
RepaymentsOfDebtAndCapitalLeaseObligations,219000000.000,,,,710000000.000,,,,32000000.000,,,,1824000000.000,
RevenueFromOwnedHotels,945000000.000,1117000000.000,1079000000.000,1098000000.000,957000000.000,1135000000.000,1082000000.000,1059000000.000,967000000.000,1105000000.000,1033000000.000,1021000000.000,300000000.000,377000000.000
