,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
PaymentsOfDividends,,,,,,,,,,,,,0.000,,,,,,,,,,
PaymentsOfFinancingCosts,,,,,82508000.000,,,,183000.000,1695000.000,,,0.000,,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,294000.000,,,,126500000.000,,,,300000.000,,,,-1500000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,31442000.000,,,,70163000.000,,,,86672000.000,,,,115300000.000,129500000.000,130100000.000,155500000.000,159200000.000,172400000.000,185100000.000,187400000.000,208300000.000,213600000.000,208300000.000
ProceedsFromContributedCapital,100000.000,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromContributionsFromParent,100000.000,,,,337203000.000,,,,1881000.000,,,,0.000,,,,,,,,,,
ProceedsFromIssuanceOfSeniorLongTermDebt,,,,,2840000000.000,,,,0.000,,,,,,,,,,,,,,
ProvisionForDoubtfulAccounts,148000.000,,,,535000.000,,,,409000.000,,,,600000.000,,,,600000.000,,,,900000.000,,
RecognitionOfDeferredRevenue,2580000.000,,,,7814000.000,,,,12139000.000,,,,17300000.000,,,,20400000.000,,,,27500000.000,,
RedemptionPremium,,,,,,,,,,,,,,23800000.000,,,,,,,,,
RelatedPartyTransactionAmountsOfTransaction,,,,,,,,,,143000.000,0.000,,430000.000,,,,,,,,,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,,,,,,241000.000,219000.000,212000.000,,,,,,,,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,229000.000,,,,378000.000,,,,397000.000,,,,700000.000,,,,1200000.000,,,,1000000.000,,
RepaymentsOfLongTermDebt,,,,,697475000.000,,,,4050000.000,,,,5100000.000,,,,4100000.000,,,,,,
RepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,0.000,,,,,,,,,,
RevenueFromGrants,,,,,3507000.000,,,,,,,,,,,,,,,,,,
RevenueFromRelatedParties,,,,,1699000.000,3160000.000,3215000.000,3431000.000,3052000.000,3094000.000,3005000.000,,,,,,,,,,,,
