,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllowanceForDoubtfulAccountsReceivableCurrent,6833000.000,6908000.000,7123000.000,8841000.000,3213000.000,2815000.000,2844000.000,2000000.000,,,,,,,,,,,,,,,,,
AssetRetirementObligation,,,,,,,,140000000.000,,,,180000000.000,,,,188000000.000,,,,212000000.000,,,,170000000.000,
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,,,,,,,,,,,,,,,,,6000000.000,,,,13000000.000,
Assets,17510162000.000,19866158000.000,20443318000.000,20896793000.000,32822101000.000,33113222000.000,33597599000.000,48904000000.000,50140000000.000,50143000000.000,50043000000.000,50330000000.000,57769000000.000,58615000000.000,64681000000.000,64469000000.000,67004000000.000,69145000000.000,70168000000.000,71189000000.000,72765000000.000,74560000000.000,76839000000.000,79011000000.000,80997000000.000
AssetsCurrent,1312033000.000,1398971000.000,1433088000.000,1455444000.000,1873770000.000,1683774000.000,1737422000.000,5597000000.000,6627000000.000,6153000000.000,6887000000.000,6536000000.000,7516000000.000,7652000000.000,8042000000.000,6153000000.000,6789000000.000,7237000000.000,6072000000.000,5410000000.000,5584000000.000,6090000000.000,6467000000.000,6985000000.000,6514000000.000
AssetsFairValueDisclosure,,,,,,,,,,,177000000.000,,,,,,,,,,,,,,
AssetsHeldForSaleCurrent,,,,,,,7482000.000,184000000.000,136000000.000,102000000.000,16000000.000,0.000,167000000.000,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,190996000.000,985000000.000,992000000.000,1000000000.000,145000000.000,0.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesCurrent,2640000.000,1996000.000,3151000.000,1229000.000,11000.000,11000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,1971229000.000,1975549000.000,,,,,,,,,,,,,,,,,,,,,,
