,2011-04-30,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-04-03,2015-07-03,2015-10-02,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,4000000.000,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,-1000000.000,-2000000.000,,,1000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,,,,15000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,,,,,,,,0.000,,,,,,-2000000.000,0.000,0.000,3000000.000,4000000.000,2000000.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,,,0.000,,,,,,-1000000.000,0.000,0.000,2000000.000,2000000.000,2000000.000,-13000000.000,11000000.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,,,,,,,,,0.000,,,,,,-1000000.000,0.000,0.000,1000000.000,2000000.000,0.000,-4000000.000,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,0.000,,0.000,0.000,0.000,-5000000.000,-2000000.000,1000000.000,0.000,2000000.000,2000000.000,-2000000.000,2000000.000,12000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,4000000.000,,,10000000.000,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,1000000.000,,2000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,,,,,0.000,,,,,,,0.000,0.000,,-1000000.000,0.000,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,,,0.000,,,,,,1000000.000,-1000000.000,0.000,0.000,0.000,0.000,3000000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,,0.000,,,,,,,1000000.000,0.000,,-1000000.000,0.000,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,,,,,,,,,,,,,,,,,6000000.000,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,,,,,,,,,,,,4000000.000,,-1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,,,,,,,,,,,,,,,,,,,,,,2000000.000,,
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,,,,,,,,,,,,,,,,,,,,,2000000.000
OtherNoncashIncomeExpense,1000000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,,,2000000.000,,,,-2000000.000
OtherNonoperatingIncomeExpense,4000000.000,1000000.000,-2000000.000,2000000.000,2000000.000,4000000.000,2000000.000,0.000,1000000.000,,2000000.000,,2000000.000,-1000000.000,0.000,4000000.000,-1000000.000,2000000.000,0.000,0.000,-2000000.000,-1000000.000,-10000000.000,3000000.000
ParticipatingSecuritiesDistributedAndUndistributedEarnings,,,,,3000000.000,2000000.000,2000000.000,4000000.000,,,0.000,,0.000,0.000,0.000,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,-2000000.000,,,,-1000000.000,,,,-2000000.000,,,,0.000,,,,-1000000.000,,,0.000,,,,
PaymentsForRepurchaseOfEquity,246000000.000,,,,19000000.000,,,,16000000.000,,,,212000000.000,,,,6000000.000,,,9000000.000,,,,6000000.000
PaymentsForRestructuring,,,,,,,,,,,,,6000000.000,,,,,,,,,,,
PaymentsOfDividends,,,,,41000000.000,,,,41000000.000,,,,24000000.000,,,,24000000.000,,,23000000.000,,,,
PaymentsOfOrdinaryDividends,,,,,,,,,,,,,,,,,,,,,,,,50000000.000
PaymentsToAcquirePropertyPlantAndEquipment,9000000.000,,,,8000000.000,,,,19000000.000,,,,10000000.000,,,,3000000.000,,,4000000.000,,,,7000000.000
ProceedsFromCollectionOfNotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,2000000.000
ProceedsFromDivestitureOfBusinesses,,,,,,,,,,,295000000.000,,,,,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,7000000.000,,,,4000000.000,,,,4000000.000,,,,2000000.000,,,,1000000.000,,,2000000.000,,,,1000000.000
ProceedsFromPaymentsForOtherFinancingActivities,-2000000.000,,,,,,,,,,,,1000000.000,,,,1000000.000,,,4000000.000,,,,
ProceedsFromSaleAndCollectionOfReceivables,,,,,,,,,,,25000000.000,,,,,,,,,,,,,
ProceedsFromSaleOfProductiveAssets,,,,,,,,,,,,,,,,,,,,3000000.000,,,,
