,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,,,,,,,1045000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditAfterTax,,,,,,,-1118000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanEstimatedFutureEmployerContributionsInCurrentFiscalYear,,43000000.000,,,,,,13000000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,,977000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,,204000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,,193000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,,195000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,,202000000.000,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,,,,,200000000.000,,,,,,,,,,,,,,,,
DerivativeAssetNotionalAmount,,,,,,,,,594000000.000,680000000.000,536000000.000,438000000.000,415000000.000,,,,,,,,,,
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,1000000.000,3000000.000,3000000.000,1000000.000,1000000.000,1000000.000,,,,,,,,,
DerivativeLiabilityFairValueNet,,13000000.000,17000000.000,10000000.000,,,,,,,,,,,,,,,,,,,
DerivativeLiabilityFairValueNet1,,,,,,,1000000.000,1000000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,,,,,,,,,142000000.000,,,14000000.000,10000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayable,,,,,,,,,55000000.000,,,23000000.000,10000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,,,,,,,,,147000000.000,,,15000000.000,11000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,,,,,,,,,,,,,,,,,,,,2000000.000,1000000.000,,
DisposalGroupIncludingDiscontinuedOperationGoodwill,,,,,,,,,140000000.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationInventory,,,,,,,,,126000000.000,,,78000000.000,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentAssets,,,,,,,,,44000000.000,,,7000000.000,7000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentLiabilities,,,,,,,,,17000000.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPensionPlanBenefitObligation,,,,,,,,,1423000000.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipment,,,,,,,,,,,,,7000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNet,,,,,,,,,75000000.000,,,10000000.000,,,,,,,,,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,,,,,,,,,,,,,,,,,,,,,,,21000000.000
EmployeeRelatedLiabilitiesCurrent,,,,359000000.000,,,253000000.000,,202000000.000,,,,,136000000.000,,,,,,,,47000000.000,51000000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,1000000.000,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,298000000.000,,,228000000.000,,,3000000.000,,15000000.000,21000000.000,27000000.000,33000000.000,39000000.000,46000000.000,52000000.000,48000000.000,50000000.000,55000000.000,59000000.000,77000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,7000000.000,,,48000000.000,37000000.000,,,,35000000.000,,,,7000000.000,7000000.000,7000000.000,4000000.000,18000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,14000000.000,,,27000000.000,25000000.000,,,,25000000.000,,,,,,,16000000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,7000000.000,25000000.000,,,,,,,,14000000.000,9000000.000,4000000.000,,15000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,9000000.000,,,19000000.000,11000000.000,,,,10000000.000,,,,4000000.000,4000000.000,4000000.000,3000000.000,7000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,10000000.000,,,24000000.000,18000000.000,,,,18000000.000,,,,6000000.000,5000000.000,5000000.000,4000000.000,8000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,10000000.000,,,26000000.000,23000000.000,,,,23000000.000,,,,13000000.000,12000000.000,12000000.000,5000000.000,9000000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,11000000.000,,,27000000.000,25000000.000,,,,25000000.000,,,,17000000.000,16000000.000,16000000.000,12000000.000,16000000.000
FiniteLivedIntangibleAssetsGross,,,,385000000.000,,,289000000.000,,,235000000.000,,,,,215000000.000,,,,149000000.000,,,,
FiniteLivedIntangibleAssetsNet,,,,87000000.000,,,61000000.000,,,232000000.000,,,,,182000000.000,,,,101000000.000,53000000.000,48000000.000,44000000.000,73000000.000
ForeignCurrencyContractsLiabilityFairValueDisclosure,,,,,,,,,,,,,,,1000000.000,,,,,,,,
FreshStartAdjustmentIncreaseDecreaseAmortizableIntangibleAssets,,,,,,,,,,235000000.000,,,,,,,,,,,,,
Goodwill,292000000.000,293000000.000,285000000.000,277000000.000,,,278000000.000,196000000.000,56000000.000,,,96000000.000,96000000.000,96000000.000,96000000.000,90000000.000,90000000.000,90000000.000,88000000.000,88000000.000,88000000.000,88000000.000,88000000.000
GoodwillGross,,,1696000000.000,1688000000.000,,,1689000000.000,,,,,,,,,,,,,,,,
GoodwillImpairedAccumulatedImpairmentLoss,,,-1411000000.000,1411000000.000,,,1411000000.000,,,,,,,,,,,,,,,,
GuaranteeObligationsCurrentCarryingValue,,,,,,,,82000000.000,80000000.000,103000000.000,,,,,,,,,,,,,
GuaranteeObligationsMaximumExposure,,,,,,,,18000000.000,34000000.000,34000000.000,14000000.000,13000000.000,,,,,,,,,,,
HeldToMaturitySecurities,,,,,,,,23000000.000,23000000.000,,,,,,,,,,,,,,
HeldToMaturitySecuritiesFairValue,,,,,,,,,23000000.000,,,,,,,,,,,,,,
HeldToMaturitySecuritiesFairValueDisclosure,,,,,,,,23000000.000,,,,,,,,,,,,,,,
IncomeTaxExaminationLiabilityRefundAdjustmentFromSettlementWithTaxingAuthority,,,,,,,-123000000.000,,,,,,,,,,,,,,,,
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,14000000.000,,,16000000.000,,,,18000000.000,,,,18000000.000,,,,,,,23000000.000,
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,,,,,,,,143000000.000,143000000.000,143000000.000,190000000.000
IntangibleAssetsNetExcludingGoodwill,,,,87000000.000,,,61000000.000,,,,,212000000.000,206000000.000,198000000.000,182000000.000,176000000.000,170000000.000,164000000.000,101000000.000,93000000.000,88000000.000,84000000.000,113000000.000
InterestPayableCurrent,,,,,,,107000000.000,,7000000.000,,,,,,,,,,,,,,
