,2011-04-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2015-01-02,2015-04-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,0.000,,1000000.000,-2000000.000,1000000.000,-1000000.000,-4000000.000,4000000.000,-1000000.000,1000000.000,-1000000.000,-1000000.000,0.000,-2000000.000,2000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,-3000000.000,,5000000.000,,4000000.000,,-6000000.000,-12000000.000,0.000,-3000000.000,5000000.000,-3000000.000,1000000.000,-7000000.000,3000000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,,,,,,,,,,,,0.000,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,-11000000.000,,7000000.000,-1000000.000,5000000.000,0.000,-10000000.000,-8000000.000,0.000,-2000000.000,4000000.000,3000000.000,,,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,,,,27000000.000,0.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,1000000.000,-9000000.000,6000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,0.000,,0.000,-1000000.000,0.000,0.000,0.000,0.000,-1000000.000,0.000,0.000,-7000000.000,0.000,0.000,-1000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,,,,,-19000000.000,,0.000,0.000,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,,,,,,,,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,,0.000,,-2000000.000,-7000000.000,-1000000.000,-1000000.000,0.000,0.000,-1000000.000,0.000,-1000000.000
